ディレクティブ, 説明
chunked_transfer_encoding,クライアントへのレスポンスの際に、HTTP/1.1標準のチャンク転送エンコードを無効にする
client_body_buffer_size,クライアントからのリクエストボディを読み取る際のバッファサイズを指定する。デフォルトはページサイズの２倍。リクエストボディが これを超える場合はテンポラリファイルに書き込まれる。
client_body_in_file_only,本ディレクティブにより、Nginxはクライアントからのリクエストボディに追加の処理を行う場合に用いる。本ディレクティブをonにする。 本ディレクティブをonにすることで、クライアントからのリクエストボディが強制的にファイルに保存される。
client_body_in_single_buffer,本ディレクティブにより、Nginxはクライアントからのリクエストボディ全体を強制的に単一のバッフォに保存するため、コピー操作が提言される
client_body_temp_path,クライアントからのリクエストボディを保存するパスを設定する
client_body_timeout,クライアントからのリクエストボディを読み取る際のタイムアウト値を指定する
client_header_buffer_size,クライアントからのリクエストヘッダのバッファサイズ。デフォルトの1KBを超えるサイズが必要となった際に設定する
client_max_body_size,クライアントからのリクエストボディの最大長。これを超えた場合、413(Request Entiry Too Large)エラーがブラウザに返却される
keepalive_disable,ブラウザからのキープアライブリクエストを無効にする
keepalive_requests,単一のキープアライブコネクションからクローズされるまでに発行可能なリクエスト数を指定する
large_client_header_buffers,クライアントからのリクエストヘッダの最大数と最大サイズを指定する
msie_padding,Internet Explore(MSIE)クライアントが400以上のステータスでレスポンスを返却する際に、レスポンスのサイズを512バイト以上 にするためにコメントを追加する機能を有効にする
msie_refresh,MSIEクライアントに対して、リダイレクトを送信する代わりにリフレッシュを送信する機構を有効にする
